"
Date","American Express (AXP)
","Amgen Inc (AMGN)
","Apple Inc (AAPL)
","Boeing Co (BA)
","Caterpillar Inc (CAT)
","Cisco Systems Inc (CSCO)
","(CVX)
","(GS)
","Home Depot Inc (HD)
","Honeywell International Inc (HON)
","IBM Corp  (IBM)
","Intel Corp (INTC)
","Johnson & Johnson (JNJ)
","Coca-Cola Co (KO)
","JPMorgan Chase & Co (JPM)
","McDonald\'s Corp (MCD)
","3M Co (MMM)
","Merck & Co inc (MRK)
","Microsoft (MSFT)
","Nike Inc (NKE)
","Procter & Gamble Co (PG)
","TRV
","UnitedHealth Group (UNH)
","Salesforce Inc (CRM)
","Verizon Communications Inc (VZ)
","Visa Inc (V)
","Walgreens Boots Alliance Inc (WBA)
","Walmart Inc (WMT)
","Walt Disney Co (DIS)
"
2014-01-29,74.142036,90.562195,15.678684,110.919273,69.135399,15.962300,76.238464,135.994537,60.885731,69.667946,110.834793,18.599144,67.716751,27.592239,42.278526,71.517471,93.925385,36.608337,30.869795,32.144230,58.673416,65.272842,61.159065,57.959999,29.770037,50.616032,40.837055,59.890984,65.432899
2014-01-30,75.069366,91.869293,15.648318,108.141586,71.103722,16.205603,76.534218,137.604202,61.084255,71.189575,111.438034,18.644363,68.173782,27.788803,42.636364,72.016495,92.338943,37.519852,31.038210,33.116119,58.091496,65.391991,62.480759,60.970001,29.732580,51.492580,41.386368,60.416382,67.166656
2014-01-31,73.682709,90.394989,15.673990,107.056145,71.645386,16.153997,73.366364,136.177109,61.020752,70.824699,111.010735,18.493639,67.389191,27.533997,42.149094,72.300568,92.439896,37.141220,31.863411,32.627930,57.902580,64.534462,62.034473,60.529999,29.976032,50.222054,41.451416,60.359791,66.607071
2014-02-03,71.810768,88.723129,15.703113,105.192963,70.508659,15.888568,73.044312,132.609238,59.623230,68.899368,108.635727,18.049007,66.101929,27.082621,41.349659,71.417618,89.346298,36.517178,30.718224,31.745617,57.207314,63.724628,60.712761,58.470001,28.971016,49.765129,40.164871,58.727127,64.203674
2014-02-04,72.798714,87.985970,15.930417,104.304123,70.569672,16.072889,72.840599,134.218872,59.527969,69.683472,108.598038,17.951040,65.980034,27.286469,41.836948,71.471405,91.379845,37.519852,30.608763,31.579895,57.502052,63.796043,60.515366,60.959999,29.226946,50.014584,40.439522,58.783710,65.176056
2014-02-05,72.556068,87.446457,16.049402,103.757126,70.157707,16.205603,71.979645,133.107071,59.758221,69.551529,109.477676,17.893976,66.482758,27.381113,42.034893,71.847588,91.841370,37.533871,30.162464,31.620211,57.774113,63.867535,60.781418,61.630001,29.145792,50.264008,41.812813,58.896873,65.827362
2014-02-06,74.263374,88.206375,16.142954,104.842552,71.584381,16.581623,73.129768,134.210617,60.472855,70.754829,110.349503,18.251554,67.602486,27.686872,43.001827,72.891762,92.951881,37.702156,30.465597,32.027760,58.114185,64.066002,60.824337,61.700001,29.139561,51.056648,42.803028,58.856438,69.313187
2014-02-07,75.398682,90.357025,16.368790,108.560379,72.377792,16.714331,73.642410,134.359955,60.703125,72.323006,111.979446,18.418928,68.585098,27.628633,43.108414,73.644165,93.983086,38.403336,30.785593,32.556271,58.424004,64.216866,61.244892,61.549999,29.220701,51.702415,44.060658,59.608112,69.414101
2014-02-10,76.559982,91.420937,16.662029,108.680023,72.095512,16.832304,73.405830,133.588303,60.671368,72.082375,111.909935,18.479792,69.369682,28.080011,43.199776,72.830330,93.528778,38.487488,30.987686,32.547325,58.968128,65.384018,59.854515,61.040001,29.283119,51.415661,43.836601,59.616192,70.689186
2014-02-11,76.768013,92.604858,16.881580,111.244049,72.446465,16.743830,74.647957,136.401154,60.901638,73.099335,113.527222,18.616739,70.816956,28.130978,43.725117,73.198837,94.451797,39.055428,31.299240,33.134041,59.580235,66.066818,60.609776,61.230000,29.470400,51.830624,46.402458,60.456738,71.358849
2014-02-12,77.149307,93.345749,16.880316,110.126694,73.369576,16.847048,74.283295,135.662674,61.362171,73.200264,113.868408,18.677597,70.397987,28.036339,43.793640,72.853378,94.680450,38.564606,31.551863,33.192257,58.560051,65.312561,60.283634,61.480000,29.570280,52.353760,47.284252,60.586098,71.468903
2014-02-13,77.045326,94.827553,17.148367,111.304199,73.323799,16.419416,74.601540,136.127289,61.608307,73.386581,114.879173,18.791716,70.504639,28.138252,44.181927,73.290993,94.462692,38.634716,31.669752,33.532658,58.794308,65.804817,61.116131,63.130001,29.532831,52.325726,48.217514,60.909370,71.459747
2014-02-14,77.131989,94.590744,17.134512,111.871452,73.659515,16.633230,75.244728,135.845184,61.878269,73.448669,116.047966,18.837370,70.656990,28.342102,44.273308,73.536682,95.899887,38.873119,31.678169,33.622219,60.003460,66.709930,63.098686,62.799999,29.033432,52.781143,47.048206,61.256920,72.679779
2014-02-18,77.149307,95.430969,17.197506,112.275421,73.667122,16.522635,74.734177,136.616852,61.592422,73.246864,115.732063,18.837370,70.207550,27.279192,44.532166,73.720940,95.667603,39.048412,31.746038,33.684929,58.922783,66.987839,63.364746,63.730000,28.702585,52.795155,46.873901,60.885143,73.000847
2014-02-19,76.993317,94.216492,16.925991,110.350174,73.400093,16.426796,75.324333,135.463516,60.703125,72.159981,115.580452,18.639563,69.803864,27.009815,43.595688,73.360100,94.767570,38.592648,31.822380,33.510258,59.051247,66.702026,63.124416,63.020000,29.045927,52.286030,47.578403,60.497196,72.349541
2014-02-20,77.140656,94.323410,16.730066,111.355774,73.941757,16.441534,75.987358,136.492340,61.520954,72.633530,116.408058,18.822147,70.367508,27.155411,43.839329,73.513641,95.493408,39.132557,32.025993,33.850639,58.884991,66.543221,63.064358,63.009998,30.038458,52.187943,48.333721,59.422211,72.643089
2014-02-21,76.915314,94.598396,16.544231,110.255608,74.384247,16.316193,74.714302,136.492340,61.727413,72.920761,115.479393,18.578697,70.214081,27.068058,43.862164,74.051109,95.500664,39.286823,32.221123,34.253727,58.922783,66.527351,63.347618,63.590000,29.507856,52.164597,48.166679,59.098923,73.505379
2014-02-24,77.929306,96.080200,16.616678,111.381569,74.246925,16.308828,75.688988,138.185043,61.830647,72.788811,115.896339,18.738466,69.899529,27.301025,44.181927,74.089478,95.957954,39.391987,31.975094,34.862850,58.839653,66.249435,65.235748,63.910000,28.858646,52.825520,48.311947,59.284813,74.055763
2014-02-25,77.920647,94.987930,16.443754,108.966385,73.552681,16.102381,76.232712,135.646057,64.300026,73.225647,115.757393,18.730854,69.899529,27.497589,43.420570,74.181625,96.487808,39.202667,31.847841,34.983772,59.036125,66.170052,64.643562,63.660000,28.896095,53.040375,48.624229,59.284813,73.578766
2014-02-26,77.764641,93.078415,16.295403,108.820259,74.155403,16.168745,76.590752,135.537811,64.871735,73.217842,116.281685,18.867798,69.899529,27.570393,43.207390,73.621162,96.437004,39.455097,31.788464,35.122612,58.839653,66.241516,65.278664,63.740002,28.933542,52.806835,48.304672,60.440598,73.459503
2014-02-27,78.249962,94.010277,16.620462,110.496277,73.773918,16.161367,76.710098,137.685760,65.086105,73.615677,117.046135,18.837370,70.091347,27.716002,43.161713,73.621162,97.511292,39.728558,32.119320,35.050735,59.089046,66.574974,65.244308,66.220001,29.651438,52.846542,49.524815,60.262802,73.826447
2014-02-28,79.107956,94.728241,16.575420,110.805687,73.979912,16.072889,76.471420,138.576599,65.133759,73.670280,116.982941,18.837370,70.674416,27.810637,43.260696,73.675339,97.794342,39.959930,32.501080,35.176529,59.444229,66.567039,66.317123,62.369999,29.701359,52.767139,49.350506,60.375942,74.129143
2014-03-03,77.972633,94.476196,16.623297,110.204041,73.476387,15.903312,76.146461,137.152954,65.109955,73.007217,116.408058,18.639563,70.244781,27.752403,42.796257,73.032661,95.965210,39.560265,32.051434,34.767693,58.552513,66.043015,66.171242,61.490002,29.532831,51.716194,48.951054,59.907192,72.890778
2014-03-04,80.260582,96.240608,16.732906,111.931625,74.018066,16.087645,76.464760,140.474792,65.800751,73.795082,117.785332,18.723246,71.610382,27.890724,43.595688,73.543709,96.306366,40.009018,32.585911,35.320286,59.285526,66.781395,67.055252,63.070000,29.901125,52.664368,50.178463,60.723492,74.954750
2014-03-05,79.853271,96.385735,16.768188,110.693962,73.522171,16.124500,75.874664,143.113983,65.832527,73.841911,118.227577,18.639563,71.034966,27.919849,44.280918,73.574669,97.155609,39.882824,32.331406,34.781181,58.809433,66.987839,66.935089,63.680000,29.576519,52.036125,49.735432,60.456738,75.844566
2014-03-06,81.049271,94.858086,16.717474,110.754120,74.460556,16.087645,76.153137,143.696716,65.435516,73.912117,118.543442,18.738466,71.265167,28.007214,44.844337,74.008301,97.322571,40.149254,32.365345,35.140602,58.990780,67.411156,66.634697,63.139999,29.626465,52.281364,48.449940,60.521431,76.449997
2014-03-07,81.343918,93.383942,16.707714,110.479088,74.040932,16.021278,76.305618,145.078735,65.546638,74.450378,118.568703,18.746069,71.595055,28.065447,45.225006,73.946327,97.344353,40.296516,32.153248,35.697651,59.232616,67.035782,66.428719,60.740002,29.432943,52.678394,48.813061,60.667847,75.413437
2014-03-10,81.205254,95.782310,16.722828,109.060921,73.812080,15.991794,76.809555,144.454285,65.252861,74.302177,117.753700,18.898228,71.694786,28.138252,45.072731,73.714043,96.945122,40.191330,32.085377,35.482014,59.345978,66.915939,66.840683,59.779999,29.358044,52.664368,48.500771,60.545845,75.193253
2014-03-11,80.771889,94.919212,16.885672,108.012344,73.880737,15.932808,75.927696,141.440521,64.917458,73.412872,117.987480,18.814541,71.725479,28.247461,44.303772,76.486092,96.182976,39.749596,32.255058,35.401150,59.663387,66.756218,66.754852,61.020000,29.152052,53.056736,48.311947,60.944439,74.349319
2014-03-12,80.511948,96.225311,16.902050,106.946579,73.865479,16.087645,76.683601,141.299011,64.334496,73.210045,117.646332,18.837370,71.809875,28.229116,44.098190,76.431877,96.226540,39.833721,32.467152,35.477528,59.882549,66.636406,66.840988,61.520000,28.939795,52.804501,48.609711,61.440632,74.652031
2014-03-13,78.596611,94.682419,16.714323,104.763451,72.942360,15.866449,75.887901,138.784729,62.928989,72.429977,116.180649,18.692808,71.349541,27.862215,43.717506,75.394310,94.949013,39.423882,32.144768,35.279861,59.844780,65.965500,66.332787,59.060001,28.733797,51.562038,48.609711,60.952576,73.321922
